,C1061.pdf,C1070.pdf,C1080.pdf,C1161.pdf,C1164.pdf,C1191.pdf,C1212.pdf,C1228.pdf,C1236.pdf,C1320.pdf,C1446.pdf,C1487.pdf,C1499.pdf,C1547.pdf,C1627.pdf,C1677.pdf,C1701.pdf,C1781.pdf,C1789.pdf,C1791.pdf,C1796.pdf,C2098.pdf,C2139.pdf,C2144.pdf,C2235.pdf,C2250.pdf,C2256.pdf,C2287.pdf,C2430.pdf,C2546.pdf,C2603.pdf,C2607.pdf,C2652.pdf,C2669.pdf,C2720.pdf,C2775.pdf,C2808.pdf,C2836.pdf,C2838.pdf,C2872.pdf,C3014.pdf,C3017.pdf,C3019.pdf,C3045.pdf,C3127.pdf,C3142.pdf,C3169.pdf,C3226.pdf,C3315.pdf,C3363.pdf,C3416.pdf,C3445.pdf,C3464.pdf,C3539.pdf,C3557.pdf,C3570.pdf,C3620.pdf,C3627.pdf,C3717.pdf,C3761.pdf,C3771.pdf,C3821.pdf,C3830.pdf,C3863.pdf,C3899.pdf,C3912.pdf,C3922.pdf,C4021.pdf,C4024.pdf,C4194.pdf,C4256.pdf,C4277.pdf,C4307.pdf,C4331.pdf,C4336.pdf,C4439.pdf,C4444.pdf,C4460.pdf,C4482.pdf,C4507.pdf,C4523.pdf,C4552.pdf,C4573.pdf,C4602.pdf,C4627.pdf,C4686.pdf,C4742.pdf,C4760.pdf,C4919.pdf,C4999.pdf,C5007.pdf,C5121.pdf,C5125.pdf,C5230.pdf,C5339.pdf,C5390.pdf,C5451.pdf,C5507.pdf,C5591.pdf,C5638.pdf,C5649.pdf,C5661.pdf,C5725.pdf,C5756.pdf,C5767.pdf,C5786.pdf,C5804.pdf,C5951.pdf,C6059.pdf,C6129.pdf,C6140.pdf,C6239.pdf,C6277.pdf,C6302.pdf,C6315.pdf,C6357.pdf,C6384.pdf,C6507.pdf,C6583.pdf,C6592.pdf,C6631.pdf,C6658.pdf,C6746.pdf,C6768.pdf,C6776.pdf,C6942.pdf,C6951.pdf,C6979.pdf,C7032.pdf,C7093.pdf,C7094.pdf,C7128.pdf,C7226.pdf,C7228.pdf,C7230.pdf,C7231.pdf,C7242.pdf,C7254.pdf,C7315.pdf,C7318.pdf,C7482.pdf,C7492.pdf,C7497.pdf,C7527.pdf,C7535.pdf,C7543.pdf,C7550.pdf,C7554.pdf,C7733.pdf,C7775.pdf,C7784.pdf,C7831.pdf,C7842.pdf,C7869.pdf,C7934.pdf,C7979.pdf,C7996.pdf,C8035.pdf,C8063.pdf,C8203.pdf,C8239.pdf,C8398.pdf,C8420.pdf,C8518.pdf,C8564.pdf,C8631.pdf,C8676.pdf,C8692.pdf,C8730.pdf,C8760.pdf,C8782.pdf,C8810.pdf,C8849.pdf,C8886.pdf,C8928.pdf,C9104.pdf,C9117.pdf,C9142.pdf,C9146.pdf,C9165.pdf,C9200.pdf,C9207.pdf,C9228.pdf,C9262.pdf,C9282.pdf,C9342.pdf,C9369.pdf,C9533.pdf,C9534.pdf,C9567.pdf,C9590.pdf,C9628.pdf,C9677.pdf,C9742.pdf,C9777.pdf,C9779.pdf,C9884.pdf,C9897.pdf,C9919.pdf,C9945.pdf
Database Administrator,0.7687036,0.7800808,0.761226,0.76007736,0.75431454,0.754045,0.76088476,0.7556768,0.7551459,0.79363424,0.775566,0.7477703,0.756726,0.75380063,0.76929283,0.7708818,0.77597624,0.7608415,0.77035403,0.7516247,0.7617754,0.72061336,0.7673832,0.74884325,0.7639041,0.76934004,0.74976575,0.7609812,0.7834606,0.7685714,0.77065617,0.76264113,0.79389066,0.74104583,0.76046646,0.7509111,0.787982,0.76875657,0.77349323,0.75689495,0.74020094,0.7718978,0.7481207,0.7490467,0.7747412,0.7974392,0.7672328,0.7773421,0.75570047,0.76813143,0.7655349,0.7709222,0.75610137,0.7718643,0.7598043,0.7631974,0.7636082,0.7740408,0.7710538,0.77289844,0.75781953,0.7175391,0.7587335,0.7914292,0.7540574,0.7814794,0.762524,0.73591214,0.76517045,0.75718796,0.77597624,0.76850986,0.76323515,0.75497913,0.73435116,0.7621795,0.775664,0.751552,0.7687036,0.7733559,0.7623188,0.7777724,0.7726625,0.72468996,0.7774606,0.7520226,0.78910565,0.772114,0.7145753,0.77338004,0.7758105,0.7570943,0.7586587,0.76306117,0.7830703,0.7673199,0.773226,0.7736743,0.74432397,0.7834606,0.7364512,0.76341766,0.7688912,0.7633517,0.77579606,0.77520376,0.76910114,0.78561527,0.71949244,0.7608464,0.7363487,0.7733449,0.7668584,0.753727,0.73900664,0.7269221,0.7580216,0.7881963,0.79502654,0.7598113,0.7779775,0.74600565,0.7422173,0.77952105,0.7651179,0.77997583,0.7430799,0.7278193,0.7787397,0.76945984,0.7669909,0.7813737,0.7528012,0.78196234,0.75750005,0.76037836,0.7764925,0.7683756,0.77023053,0.7530426,0.7538445,0.76568377,0.75417626,0.75576377,0.7529727,0.7615547,0.7599517,0.7227247,0.7803022,0.76342034,0.7618415,0.76533294,0.74841595,0.760623,0.763293,0.768332,0.7649447,0.77481353,0.79585683,0.7704337,0.749169,0.76357865,0.75729877,0.77106225,0.75887036,0.781873,0.7435372,0.73885596,0.7959396,0.7718461,0.73206556,0.7571399,0.7564509,0.76145184,0.76197946,0.7578559,0.7730802,0.7598113,0.8048003,0.7523241,0.78105026,0.74092793,0.7800807,0.7736563,0.778843,0.7785326,0.77180046,0.76873577,0.75808513,0.7902513,0.7854167,0.7599112,0.77222,0.7906351,0.7478099,0.74973863,0.75377023,0.7582304,0.7524372,0.7632753
Network Engineer,0.7554777,0.7530324,0.74614733,0.73148763,0.759696,0.7416276,0.72929513,0.75424707,0.74716175,0.76766014,0.76158315,0.7519698,0.7666353,0.7441719,0.75334424,0.7417189,0.7621082,0.74417317,0.75514376,0.7288637,0.7406666,0.6801124,0.75506365,0.7282092,0.7476512,0.7352383,0.72694683,0.7493776,0.75598705,0.7475661,0.7507709,0.75925136,0.76249945,0.73741317,0.74781257,0.74533945,0.7671857,0.75612134,0.7608255,0.7358669,0.72767997,0.73113143,0.7510562,0.73086303,0.75203913,0.76292324,0.74200356,0.7388914,0.737865,0.77348375,0.7565627,0.7475318,0.74201506,0.764411,0.71668375,0.7474744,0.73503244,0.7476418,0.76020217,0.7596917,0.7654133,0.67916816,0.7464534,0.7592308,0.7443798,0.7697853,0.7443954,0.7129444,0.7581697,0.7368387,0.7621082,0.7616943,0.7527108,0.7436551,0.73161817,0.7399007,0.73725986,0.7478667,0.7554777,0.7579422,0.75261295,0.7605144,0.73598015,0.68684614,0.7537578,0.7513535,0.76965296,0.7530345,0.6752798,0.7738782,0.74705714,0.75448656,0.75119865,0.7566227,0.7482113,0.7720466,0.74063087,0.7489505,0.7373748,0.75598705,0.72952485,0.7405852,0.76612425,0.7335362,0.738851,0.75068706,0.74277437,0.77563834,0.71005654,0.73658323,0.7179253,0.74107975,0.7340518,0.7291799,0.7413052,0.7174296,0.73358285,0.7528116,0.7726886,0.74012125,0.7645447,0.7395477,0.6899691,0.77324593,0.7506357,0.7610177,0.73224545,0.69381684,0.7564827,0.76500124,0.7638849,0.7477453,0.7458627,0.7407549,0.7377925,0.70793736,0.7536735,0.7343043,0.76500016,0.7405369,0.7353637,0.76508015,0.71943533,0.7070797,0.7381725,0.7616536,0.73577386,0.7004662,0.74040955,0.7511858,0.7406029,0.7460872,0.73548615,0.7432538,0.72704214,0.75567317,0.7511552,0.76020294,0.77065086,0.75952536,0.73591626,0.7274188,0.7198826,0.75512904,0.7348952,0.7626087,0.7238302,0.72742677,0.74305725,0.7515444,0.72607684,0.71960163,0.72883826,0.7138939,0.75096387,0.74365854,0.73546433,0.74012125,0.7887199,0.7464713,0.7605127,0.7287059,0.7725801,0.7305877,0.7829642,0.7309669,0.77003944,0.7657914,0.7375764,0.77122307,0.75636685,0.7218108,0.7609738,0.7518222,0.73745394,0.74234384,0.7298235,0.75979894,0.748493,0.7295909
Software Architect,0.7197908,0.7198563,0.71649843,0.6984545,0.7299974,0.70457363,0.71403825,0.7209592,0.71286386,0.7275841,0.71738964,0.7160555,0.7254957,0.6989783,0.713096,0.72262925,0.723912,0.7127532,0.7119677,0.6793251,0.7029394,0.6646404,0.71787983,0.69289017,0.71782386,0.71714425,0.71054965,0.7060243,0.7326314,0.7179058,0.72728074,0.72468466,0.7289835,0.7056618,0.71518576,0.7025613,0.7283695,0.7252244,0.7306136,0.71943116,0.6916286,0.71342003,0.71589345,0.6962028,0.716574,0.73103094,0.69250005,0.71360445,0.70407677,0.74219716,0.7144031,0.7122002,0.7019727,0.7251245,0.7034836,0.70829844,0.6972153,0.71666855,0.72269285,0.7299088,0.73150516,0.66533065,0.7078104,0.72181,0.7047848,0.72404486,0.7169093,0.67375,0.7147266,0.7055761,0.723912,0.7235062,0.71325743,0.70563036,0.6879604,0.6982332,0.7241764,0.7027576,0.7197908,0.72066456,0.7131218,0.7264086,0.7174816,0.6762239,0.73456454,0.7155742,0.73046404,0.7190659,0.666147,0.7239731,0.7079242,0.7182951,0.70797896,0.7207243,0.7299734,0.7359352,0.71067345,0.71525645,0.6949055,0.7326314,0.6939902,0.69629014,0.7308959,0.7103987,0.7146504,0.71951354,0.7016563,0.73709756,0.67069936,0.7152681,0.6843601,0.708975,0.71568537,0.69593835,0.69613063,0.68009794,0.7025795,0.72665477,0.735273,0.69788575,0.72225046,0.7075886,0.67944,0.73858446,0.70580256,0.72061265,0.6975229,0.6640781,0.7251425,0.7267361,0.73133487,0.72681546,0.7105708,0.7246033,0.69878995,0.6910566,0.72815204,0.7085506,0.7220634,0.7047604,0.7041926,0.7306628,0.70560074,0.7026429,0.71617013,0.719984,0.694762,0.6851449,0.71744776,0.7121224,0.70401925,0.7173294,0.6986173,0.70095915,0.7062669,0.7210812,0.7264964,0.71625316,0.73638165,0.72313595,0.69852126,0.70510393,0.6812493,0.7166468,0.6971021,0.7305812,0.69336057,0.6798873,0.7154727,0.72807443,0.684899,0.7075419,0.7095754,0.6927421,0.7128304,0.695312,0.7032649,0.69788575,0.750639,0.70778555,0.72052205,0.6869978,0.7260887,0.71313554,0.74724835,0.7176763,0.72236466,0.72498804,0.699738,0.7308622,0.7274428,0.6975853,0.71609706,0.7098703,0.70144725,0.7064548,0.70397794,0.72490305,0.7068075,0.72565436
Blockchain Developer,0.75033593,0.77216625,0.74009424,0.73365355,0.7799454,0.7204442,0.7467635,0.7425164,0.7403688,0.76423013,0.76506627,0.7633688,0.75446105,0.74690795,0.73632216,0.7397017,0.7563899,0.7525705,0.74862385,0.73351324,0.7162892,0.67987907,0.74819607,0.72497916,0.74581885,0.7634816,0.74111414,0.74693525,0.7823862,0.7554874,0.7746622,0.7657397,0.7773402,0.7371831,0.7586037,0.7423083,0.7772907,0.7700372,0.7607256,0.7436066,0.7284937,0.74289286,0.7435547,0.7186258,0.76187885,0.7800559,0.73656934,0.7482829,0.74864775,0.7768026,0.7601073,0.7514032,0.72240907,0.7689745,0.72732663,0.72824097,0.74020493,0.76154995,0.7563276,0.77324635,0.774649,0.67601025,0.7598508,0.76680636,0.72085166,0.7779274,0.746425,0.7181922,0.7658121,0.7308756,0.7563899,0.76844895,0.7436455,0.7465914,0.7462349,0.7441585,0.7564218,0.74867743,0.75033593,0.76574844,0.7445284,0.7765095,0.75228405,0.68683606,0.75703156,0.7329435,0.7848506,0.7656604,0.6713964,0.78063625,0.7562798,0.74287426,0.74413586,0.750992,0.7644875,0.76030916,0.7341535,0.7433574,0.74290496,0.7823862,0.72022986,0.7377287,0.7567524,0.7364162,0.7549678,0.76792383,0.7399826,0.7890122,0.71322936,0.73754954,0.7139559,0.75290596,0.74780804,0.7317992,0.73551565,0.71609926,0.7460335,0.768957,0.7874704,0.7251437,0.77508587,0.7371733,0.7006593,0.75844723,0.7485746,0.75859153,0.7252384,0.6733124,0.7692152,0.7856921,0.76,0.7691143,0.73673165,0.7570744,0.75298464,0.7229695,0.76911443,0.74051374,0.7753364,0.72277415,0.72910535,0.7545771,0.7319635,0.72710556,0.7396383,0.76661396,0.72412753,0.7010722,0.75414616,0.74357945,0.74732125,0.7640958,0.7225989,0.7343155,0.7246696,0.76019835,0.75351095,0.7694629,0.7848109,0.7540839,0.7425705,0.7399757,0.72938466,0.75038695,0.74759215,0.7760933,0.71806645,0.74123746,0.75373584,0.77461886,0.723802,0.73778737,0.7332457,0.71601856,0.74512875,0.7552646,0.73950684,0.7251437,0.81098294,0.74814785,0.76760185,0.7237512,0.7798643,0.7503576,0.7901554,0.7441651,0.7716316,0.7762995,0.75459105,0.7850146,0.77315736,0.7392961,0.755042,0.7577265,0.7156775,0.71846706,0.73478836,0.74704474,0.75096124,0.7574811
IT Project Manager,0.6962379,0.6806487,0.7055319,0.67106044,0.67124176,0.6786661,0.67943966,0.70064265,0.68499655,0.67876697,0.66164637,0.6417396,0.6738901,0.6179642,0.67100954,0.7062849,0.6659643,0.66846347,0.62281775,0.617337,0.69507134,0.6933148,0.69304,0.60415107,0.7131804,0.6456231,0.6831951,0.6754056,0.6603191,0.66672397,0.65354306,0.66959375,0.6852317,0.6814724,0.6612451,0.65457,0.6727839,0.67182815,0.66686535,0.69084036,0.64855254,0.6860569,0.7066404,0.71245956,0.67640996,0.68927723,0.6262306,0.663083,0.64890856,0.6851782,0.6748384,0.66974485,0.6789756,0.68004143,0.6787118,0.67855954,0.6617177,0.655392,0.6788964,0.6789129,0.67230785,0.6943388,0.6441189,0.68364036,0.7060884,0.6763347,0.6975372,0.61628705,0.65678924,0.71472454,0.6659643,0.67019755,0.6597693,0.6729293,0.6059835,0.66112113,0.66820216,0.655132,0.6962379,0.6796386,0.6930258,0.6833573,0.670897,0.6857581,0.7065196,0.70039326,0.6694122,0.66483945,0.68542725,0.6468299,0.6667887,0.7095264,0.6529553,0.68389547,0.6884156,0.70953476,0.6741999,0.7047454,0.6131072,0.6603191,0.67540836,0.63426054,0.6848954,0.7063577,0.66597325,0.6826197,0.67875904,0.67956674,0.600168,0.6938019,0.69371665,0.6741607,0.6797408,0.66695356,0.6498163,0.64563334,0.6602279,0.67318696,0.6727442,0.66596854,0.6598004,0.71120286,0.6677701,0.7316358,0.66807747,0.6922828,0.7033341,0.67825246,0.67648196,0.65271366,0.7110166,0.6732424,0.68396974,0.67984134,0.629681,0.66178906,0.6900254,0.67974603,0.6279069,0.6776885,0.6795459,0.7235503,0.66202515,0.6734432,0.69524133,0.6548461,0.66972756,0.6980182,0.6747367,0.6640402,0.6538274,0.6586809,0.6786947,0.65415686,0.6946992,0.6709225,0.71027625,0.6757163,0.68286157,0.69688773,0.6647854,0.66090035,0.6303334,0.68532884,0.64147174,0.68175435,0.6810297,0.5943438,0.67984945,0.6518752,0.6481341,0.6734505,0.6976228,0.6734472,0.68828857,0.60613,0.6644846,0.66596854,0.66949856,0.6406617,0.66930664,0.6487712,0.6777037,0.6840024,0.69446003,0.6901369,0.67030156,0.65454936,0.6342985,0.66975474,0.68614537,0.68322,0.65504944,0.67583424,0.684597,0.68158823,0.6906547,0.6918413,0.6602608,0.6676729
Business Intelligence Analyst,0.69463015,0.7078042,0.706479,0.68463707,0.68408513,0.6755859,0.6981226,0.6982515,0.67566967,0.65309596,0.6636991,0.6364756,0.6695931,0.59950215,0.65516436,0.7322982,0.644369,0.6708146,0.59878314,0.6036155,0.69168496,0.716985,0.684105,0.5841614,0.7256139,0.65795875,0.703021,0.67402387,0.67315996,0.6774464,0.658027,0.67531,0.7130312,0.6891792,0.6656786,0.65872353,0.6851264,0.6740986,0.6593333,0.7174555,0.6656813,0.69856,0.71232665,0.7224746,0.66784495,0.7156823,0.6113457,0.6856657,0.67612404,0.67525995,0.65373725,0.66747653,0.67551804,0.6920246,0.70414835,0.66878843,0.66944385,0.6505086,0.66381276,0.6840954,0.66701066,0.71788484,0.6531435,0.70817614,0.69838595,0.67660904,0.71344584,0.63778037,0.6392951,0.712873,0.644369,0.6515186,0.6583575,0.6832609,0.58493376,0.6650661,0.6819459,0.6529907,0.69463015,0.6820455,0.6767521,0.6765184,0.6802789,0.7056073,0.72935885,0.70255274,0.6844686,0.6733338,0.70629865,0.6351105,0.6915811,0.7158413,0.6689222,0.67966676,0.7003036,0.70020986,0.6715888,0.6989238,0.5850157,0.67315996,0.68424547,0.63930666,0.6685774,0.7319046,0.67492604,0.6875119,0.676692,0.69322443,0.5844307,0.7114738,0.70584273,0.6981914,0.69131863,0.6780369,0.6544771,0.6632875,0.6858548,0.6795111,0.6923448,0.6557862,0.67457354,0.71625024,0.693347,0.735292,0.65888655,0.6775521,0.6972568,0.6910163,0.67224556,0.63617355,0.7129048,0.6748096,0.67890054,0.7015921,0.6401932,0.6899671,0.70835674,0.7050256,0.6227788,0.67035687,0.69842523,0.7329149,0.6757716,0.6983385,0.71428704,0.6418478,0.6785121,0.7201337,0.6859802,0.65807354,0.6611534,0.66874623,0.6837038,0.6650564,0.71900344,0.6579353,0.7160697,0.6803107,0.7038816,0.69479537,0.6863253,0.66429263,0.644137,0.6742345,0.6485617,0.6774384,0.6937779,0.58563644,0.6972885,0.66535646,0.6515236,0.6846203,0.71015894,0.69345766,0.68611026,0.5913062,0.66382724,0.6557862,0.67497003,0.6428635,0.681236,0.6526886,0.6857594,0.7009158,0.68966764,0.7143715,0.67319846,0.66020006,0.6411404,0.68348587,0.71307683,0.694946,0.65704054,0.66708124,0.6953323,0.6845529,0.70254695,0.6941879,0.66074485,0.6823137
Robotics Engineer,0.72503453,0.7445473,0.7237352,0.71263987,0.73305386,0.7008468,0.72430426,0.71687376,0.7159326,0.73909914,0.74589896,0.72794235,0.7380375,0.6939757,0.72264457,0.72213113,0.7342438,0.73563445,0.7137578,0.7068676,0.7085838,0.669325,0.724156,0.687303,0.72240865,0.72447836,0.71006536,0.72179365,0.7362769,0.73639846,0.7221376,0.7335123,0.75243664,0.7105178,0.74278367,0.7242013,0.75755227,0.725665,0.7281625,0.72166723,0.7114309,0.7269826,0.7107178,0.69551927,0.73181766,0.7449435,0.7158719,0.7072731,0.7288954,0.74231946,0.7307848,0.71416205,0.7079056,0.74229026,0.7072736,0.71661425,0.7094599,0.7202036,0.7231535,0.72718465,0.73622525,0.6671127,0.7293136,0.74538356,0.7092911,0.7447041,0.7298279,0.69656557,0.7275816,0.70063585,0.7342438,0.73090744,0.7369609,0.70727,0.6870872,0.7175594,0.716788,0.71712434,0.72503453,0.72147685,0.7203146,0.7200606,0.7267243,0.67889893,0.7332528,0.7179547,0.7544078,0.74555993,0.6688767,0.7402903,0.73222536,0.7210572,0.73258376,0.72581065,0.7264277,0.7407521,0.7061914,0.7148066,0.6933039,0.7362769,0.6982189,0.7152672,0.7327405,0.7130343,0.72423637,0.7111684,0.71972805,0.75341153,0.66401684,0.71612084,0.6846808,0.72310376,0.71702296,0.71105945,0.7114402,0.706645,0.7269532,0.7333181,0.76233196,0.70777106,0.75529957,0.70721686,0.68778497,0.7335594,0.7288752,0.72971296,0.7001227,0.6577604,0.72159445,0.7242803,0.72110903,0.73006916,0.7111151,0.71698034,0.73081386,0.69130796,0.719372,0.71990275,0.725436,0.7047477,0.70616674,0.73488736,0.71250093,0.6964023,0.7210163,0.73409796,0.7043407,0.6865407,0.7115917,0.73609567,0.7322745,0.73895687,0.6993656,0.71706086,0.7042248,0.7285868,0.7274873,0.7347713,0.7604202,0.72949046,0.7110702,0.7144151,0.69654405,0.72146046,0.72970515,0.72597325,0.7040625,0.6825625,0.7072713,0.7380994,0.71480477,0.7109871,0.705377,0.701324,0.7194894,0.69938934,0.6972486,0.70777106,0.76948786,0.735175,0.75408155,0.7151189,0.74792665,0.709566,0.7453856,0.71340305,0.74349105,0.73974425,0.73489285,0.7588525,0.75377667,0.7122482,0.7413106,0.7027022,0.70702165,0.7124429,0.7109553,0.7234097,0.72336864,0.7134205
Embedded Systems Engineer,0.76519835,0.7714138,0.7522682,0.7519257,0.7656516,0.72357965,0.76154757,0.7433132,0.7552059,0.77714694,0.76630175,0.7485008,0.7585349,0.7354705,0.75684774,0.76348704,0.7660438,0.7588817,0.7527504,0.7415973,0.73383474,0.6994983,0.7602307,0.7224838,0.74952316,0.7702726,0.74648863,0.7485486,0.7886696,0.77382976,0.76325035,0.7718141,0.78909004,0.7302034,0.762869,0.7459201,0.7793275,0.7732262,0.7645533,0.75931877,0.73416793,0.76736856,0.74429274,0.73063236,0.76830775,0.7904454,0.75794566,0.7681265,0.748962,0.7707479,0.760966,0.75857186,0.73141646,0.76577294,0.7541187,0.7549262,0.7476717,0.7647828,0.77008295,0.7765134,0.7657691,0.699078,0.74929965,0.78441596,0.7366153,0.7721373,0.7539526,0.7247775,0.7645529,0.7404366,0.7660438,0.7663755,0.7546053,0.75415504,0.7224833,0.7470109,0.7713125,0.7477246,0.76519835,0.77010846,0.7527683,0.77335143,0.77045584,0.7151896,0.7714875,0.73777074,0.788259,0.7705171,0.7032064,0.7732905,0.7635,0.7473356,0.75026846,0.7608788,0.77817625,0.75590384,0.759039,0.7516346,0.727197,0.7886696,0.734817,0.74879336,0.77152157,0.74865913,0.77235585,0.77008355,0.7564595,0.7847646,0.69681287,0.75549066,0.7145457,0.7683562,0.76889056,0.7495457,0.73765594,0.72175515,0.7512597,0.78697264,0.7946169,0.74576443,0.77447915,0.7307722,0.72703826,0.764237,0.7528102,0.76625824,0.7259603,0.69896436,0.7753409,0.7659939,0.76002514,0.78138006,0.747085,0.7786881,0.75371546,0.7508495,0.7730894,0.7683184,0.7675304,0.7257921,0.740932,0.75373733,0.75561684,0.7476126,0.75230014,0.7652619,0.74345064,0.70967674,0.7634048,0.7561978,0.7554524,0.7662724,0.7191033,0.74618745,0.75483656,0.761843,0.75798583,0.7593953,0.7938608,0.7626227,0.74862325,0.7654345,0.73805743,0.76778376,0.7506428,0.7806153,0.73018175,0.72070915,0.77546597,0.7821768,0.72122526,0.75436753,0.74675196,0.7524812,0.7564082,0.73958004,0.7550141,0.74576443,0.79795295,0.75347245,0.77182174,0.7292934,0.78006184,0.76604795,0.7788026,0.77431464,0.76642877,0.775926,0.7536023,0.7861339,0.7841064,0.74401796,0.76518357,0.76398015,0.734026,0.7323631,0.74218094,0.758649,0.74922854,0.76251227
Quality Assurance Engineer,0.7578504,0.76580137,0.7447784,0.7551224,0.75250614,0.73596686,0.76188064,0.74301547,0.7534878,0.7863317,0.7717878,0.73983645,0.75400877,0.733451,0.75722724,0.74916524,0.77464485,0.7611433,0.75735986,0.7458105,0.7399492,0.7009027,0.7661287,0.73283935,0.7451544,0.75907737,0.7350352,0.7558772,0.7755083,0.77200425,0.76809084,0.7639965,0.77673376,0.73037064,0.75758386,0.75026757,0.77662885,0.7717557,0.7617411,0.73782444,0.7445133,0.76782024,0.7393315,0.7306808,0.77933997,0.782117,0.75280046,0.76572084,0.74155885,0.7619539,0.770885,0.7601661,0.737468,0.76635736,0.74998456,0.75563514,0.7654732,0.77452314,0.76239634,0.77521324,0.74893504,0.70140547,0.75215757,0.7726421,0.73678136,0.7722526,0.74068296,0.73060226,0.76626337,0.7480865,0.77464485,0.77320373,0.7522032,0.75143003,0.71861655,0.760771,0.76672304,0.7538465,0.7578504,0.77366364,0.76796436,0.7859325,0.7696658,0.7086264,0.758621,0.73831475,0.7795979,0.7646005,0.69717854,0.76725173,0.7597248,0.73995507,0.75084543,0.7535585,0.7756156,0.7482586,0.7629821,0.76374567,0.7319113,0.7755083,0.73235446,0.74556935,0.7659304,0.7395873,0.77431697,0.77721655,0.7608968,0.78064495,0.696097,0.7444177,0.71916693,0.75706327,0.7603369,0.7510867,0.74298847,0.73547536,0.75462013,0.7833707,0.7772884,0.74723464,0.76779675,0.73315084,0.73407245,0.7618747,0.7551941,0.7758398,0.7330669,0.7119136,0.7799942,0.77437294,0.7550353,0.7809927,0.7497628,0.7718252,0.7518749,0.74789596,0.7791317,0.7564715,0.7591226,0.7365807,0.7325411,0.75036424,0.74865067,0.7455273,0.7391533,0.7609646,0.74561536,0.7107676,0.78091824,0.75709414,0.75413316,0.76143277,0.7305536,0.74497306,0.7395985,0.76763296,0.74818915,0.7659554,0.78509307,0.76127917,0.7450407,0.75591975,0.75002694,0.7584944,0.7573546,0.7861047,0.72832644,0.71879745,0.78276044,0.76882815,0.74259996,0.75215065,0.74557996,0.75406957,0.7520541,0.7469295,0.769349,0.74723464,0.7916089,0.7505053,0.7695638,0.7489151,0.76982164,0.77402943,0.7696104,0.76144207,0.7611872,0.76296234,0.75452983,0.77600443,0.77213264,0.75916237,0.7618748,0.7822999,0.727046,0.73189634,0.73645157,0.75655043,0.75649405,0.75675726
UX/UI Designer,0.7196959,0.72058594,0.72358716,0.7031711,0.7331269,0.7136617,0.7243525,0.7330252,0.7258387,0.7210938,0.71263516,0.7245116,0.72999126,0.7051012,0.7099177,0.7314199,0.7282501,0.73313737,0.7125392,0.672021,0.7025019,0.6817956,0.70907485,0.6917434,0.7259155,0.7337046,0.734821,0.707303,0.7401486,0.71505713,0.7293646,0.71896476,0.7305175,0.7205262,0.7349411,0.70624375,0.73221725,0.733197,0.74138564,0.7344092,0.70027566,0.7224846,0.7272894,0.7048712,0.71543944,0.7371535,0.6902137,0.7207825,0.70717853,0.737895,0.7198556,0.7160474,0.7044543,0.72098124,0.722068,0.69985986,0.6967753,0.7292192,0.73155093,0.73902035,0.73520434,0.6856898,0.6986596,0.7228925,0.71229017,0.71588796,0.7297646,0.6789156,0.7219175,0.7184208,0.7282501,0.7270994,0.72089034,0.7062092,0.7017127,0.6993588,0.7480997,0.703517,0.7196959,0.7127327,0.7165522,0.7370295,0.72782105,0.6996782,0.74610204,0.723024,0.7301165,0.73117703,0.68875134,0.7268695,0.71153677,0.72775644,0.7051967,0.72444975,0.7382748,0.73969907,0.7161616,0.72310555,0.7075934,0.7401486,0.69869626,0.6984159,0.73714054,0.7209418,0.7207602,0.7304956,0.70147496,0.7325985,0.6779993,0.7349173,0.698453,0.706913,0.7337272,0.70612013,0.696137,0.68535244,0.70856476,0.7308423,0.7393565,0.6901708,0.7204273,0.71834975,0.69360965,0.7381954,0.71277845,0.71313393,0.70801485,0.67727214,0.7369507,0.73368746,0.74319756,0.74485236,0.72100675,0.73685277,0.7084991,0.70174307,0.7267667,0.71064687,0.7227725,0.7144704,0.7217845,0.7257987,0.7301675,0.72695446,0.7296568,0.7257195,0.69140315,0.7082802,0.7289174,0.71749413,0.7137151,0.7388691,0.7097063,0.7048795,0.71808773,0.73067063,0.7361516,0.7143076,0.73224086,0.7164563,0.6934538,0.7233654,0.6837076,0.71916336,0.70601594,0.7382657,0.7118286,0.68138534,0.71021515,0.73560643,0.68647707,0.73612815,0.7329382,0.70350826,0.7122272,0.7017809,0.7088085,0.6901708,0.7418014,0.71706975,0.72220755,0.6877091,0.71786153,0.72912776,0.7368573,0.7256067,0.7163185,0.7265332,0.71169317,0.73494637,0.73431736,0.713112,0.7137747,0.70537233,0.71176195,0.7123815,0.7246306,0.7305066,0.71327573,0.7541487
